符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
px,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:354,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
py,eng/tests/unit/p1wcs/p1wcs_fixtures.hpp:355,32.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kDegToRad,eng/tests/unit/p1wcs/p1wcs_oracle.hpp:25,0.01745329251994329577,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kRadToDeg,eng/tests/unit/p1wcs/p1wcs_oracle.hpp:26,57.29577951308232087680,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kRandPoints,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:54,1200,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kFreezePx,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:55,1e-4,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIterTolPx,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:61,1e-9,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIterGateKappa,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:62,10.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kApbpBudgetFrac,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:68,0.10,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
lo,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:187,0.05,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
eps,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:195,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
x,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:212,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
y,eng/tests/unit/p1wcs/p1wcs_tests_apbp.cpp:213,0.5,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
x1,eng/tests/unit/p1wcs/p1wcs_tests_negative.cpp:299,700.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
ra,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:47,150.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
dec,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:48,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
ra,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:69,150.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
dec,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:70,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
N,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:115,7,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
eps,eng/tests/unit/p1wcs/p1wcs_tests_oracle.cpp:327,1e-300,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
eps,eng/tests/unit/p1wcs/p1wcs_tests_units.cpp:75,1e-300,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p2001_real_nodes_test.cpp:91,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kNside,eng/tests/unit/p2001_real_nodes_test.cpp:164,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kTw,eng/tests/unit/p2001_real_nodes_test.cpp:165,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvar1,eng/tests/unit/p2001_real_nodes_test.cpp:168,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kArea,eng/tests/unit/p2001_real_nodes_test.cpp:175,1.0e-2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
tile_span,eng/tests/unit/p2001_real_nodes_test.cpp:508,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
mid,eng/tests/unit/p2001_real_nodes_test.cpp:729,100,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
corner,eng/tests/unit/p2001_real_nodes_test.cpp:735,480,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kKerNpx,eng/tests/unit/p2002_unc_rej_prov_test.cpp:119,4,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kKerDepth,eng/tests/unit/p2002_unc_rej_prov_test.cpp:120,3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kNside,eng/tests/unit/p2002_unc_rej_prov_test.cpp:123,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kTw,eng/tests/unit/p2002_unc_rej_prov_test.cpp:124,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvar1,eng/tests/unit/p2002_unc_rej_prov_test.cpp:126,2.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kArea,eng/tests/unit/p2002_unc_rej_prov_test.cpp:127,1.0e-2,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kOutlier,eng/tests/unit/p2002_unc_rej_prov_test.cpp:128,800.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
frame_snr,eng/tests/unit/p2002_unc_rej_prov_test.cpp:207,0.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
expect,eng/tests/unit/p2002_unc_rej_prov_test.cpp:625,3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
expect_nused,eng/tests/unit/p2002_unc_rej_prov_test.cpp:1114,3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
depth,eng/tests/unit/p2002_unc_rej_prov_test.cpp:1161,3,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
nside,eng/tests/unit/p2002_unc_rej_prov_test.cpp:1510,1,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
n,eng/tests/unit/p2_rejection_test.cpp:162,100,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kN,eng/tests/unit/p2_rejection_test.cpp:171,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kPixels,eng/tests/unit/p2_rejection_test.cpp:354,4096,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kThreads,eng/tests/unit/p2_rejection_test.cpp:393,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p2_seam_gate_test.cpp:43,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
C_A,eng/tests/unit/p2_seam_gate_test.cpp:54,0.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
C_A,eng/tests/unit/p2_upm_synthetic_test.cpp:76,0.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p3002_real_nodes_test.cpp:77,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kSigVal,eng/tests/unit/p3002_real_nodes_test.cpp:78,100.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kW,eng/tests/unit/p3002_uncertainty_test.cpp:92,16,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kSigVal,eng/tests/unit/p3002_uncertainty_test.cpp:93,100.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kVarVal,eng/tests/unit/p3002_uncertainty_test.cpp:94,0.25,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
kIvarVal,eng/tests/unit/p3002_uncertainty_test.cpp:95,4.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
ra,eng/tests/unit/p3002_uncertainty_test.cpp:785,0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
W,eng/tests/unit/p3_assembly_test.cpp:55,512,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p3_assembly_test.cpp:104,32,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
w,eng/tests/unit/p3_assembly_test.cpp:132,8,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
