符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
noise.variance_floor,常数,eng/packaging/config/defaults.json:205；docs/science/NOISE_MODEL.md:30；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1256；lib/include/astrocs/core/variance_floor.h:22；lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:1052；lib/infrastructure/scheduler/src/module_adapters.cpp:6584-6590；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1245；lib/algorithms/noise_snr/tests/p1noise/p1noise_oracle.hpp:112；lib/algorithms/noise_snr/tests/p1noise/p1noise_tests_core.cpp:776,1e-12,ADU^2,"ivar=1/max(var,floor) 的分母下界；纯数值保护（SCI §9 明确不是最小可分辨方差、不是读出噪声下限）",未标注（只说保证 ivar 有限）,注册 >0；schema :337-340 exclusiveMinimum=0（**无上限**）；解析层 >0；SCI :55 要求有限且 >0 否则 SNR_FLOOR_UNBOUND(-10),待确认（数量级拍定，无物理或数值推导）,"docs/science/NOISE_MODEL.md:30（符号表：配置默认 1e-12，单位 ADU^2）与 :55/§7；注册件所引 :23 是符号表 `x` 行【保守方向·回填自判读件】同值多侧：defaults.json:205｜noise_model.cpp:1256｜schema :340 default=1e-12（第四侧，队列未列）；**语义冲突面**：仓内已有按 dtype 导出的地板实现 lib/include/astrocs/core/variance_floor.h:22（生效 floor=max(eps_rel·median(可用方差), dtype 最小正可",待确认,Phase1 variance/ivar 全场,否（判读层逐行已判，未过第②层复核）,"红（判读层立案 E-6｜AUD-402-判读-A1 §2.2 E-6）：已实现尺度无关派生（variance_floor.h:22 生效 floor = max(eps_rel·median(可用方差), dtype 最小正可表示值)），noise 侧仍注册绝对 1e-12（ADU²）；eps_rel=1e-12（hp_drizzle_api.cpp:1052）与 normalization_floor=1e-12（rejection.cpp:1245）四面无登记 ⇒ 同一数字三处三种量纲",AUD-402-判读-A1,预筛已回：全表命中键 variance_floor｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
photometry.fit.spatial_gain_order / kDefaultSpatialGainOrder,算法,lib/infrastructure/scheduler/src/module_adapters.cpp:5471；lib/infrastructure/scheduler/src/module_adapters.cpp:5489；lib/infrastructure/scheduler/src/module_adapters.cpp:6072；lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:74（补侧·本行出处所列，该侧带值）；lib/algorithms/photometry/cpp/src/spatial_gain.h:80（补侧·本行出处所列，该侧带值）；实验/photometric-magnitude/docs/p1-spatial-gain.md:454（补侧·本行出处所列，该侧带值）,代码兜底 2；算法层结构体默认 0；文档 §6(0)(c) 判「默认保持 0」、同文档 :89 又写「默认 order 1」、:434 写「配置默认 1」,阶（整数）,"Phase1 低阶乘性空间增益 m(x,y) 的请求阶（0=关闭⇒m≡1；>2 钳到 2）",不适用（离散档）,出厂模板无 photometry 段 ⇒ 通道整条不使能；任何显式启用测光通道的运行 ⇒ 实取 2,无来源（六张登记面全空：出厂模板／defaults.json／config_registry／schema properties／合同说明与 CLI 协议／插件文档与 README；另 config_default_divergences watch_keys 亦无）,module_adapters.cpp:5471 constexpr int kDefaultSpatialGainOrder=2、:5472-5476 读取式、:5489 通道使能门、:5708/:5716/:6072-6075 施加链；frame_photometry_fit.h:74=0；spatial_gain.h:80 order_requested=0；实验/photometric-magnitude/docs/p1-spatial-gain.md:454/:89/:434,待确认,"创新点① 产品像素面（逐像素乘 k_photo·m(x,y)）",是（第②层独立复核）,红：同一参数在生产两处入口与三处文档取不同值（0／1／2），且键在六面零登记 ⇒ 操作者无从发现、无从关闭；is_number_integer() 静默兜底使 0.0、「0」、错键名一律回到 2,复核-测光默认阶数（一、四侧对齐表；二、问1-3；三、判定）；AUD-101-DB-18 §1.10；复核注记：是（复核覆盖成稿：定级 P1，并给出升 P0 的唯一触发条件）,
photometry.irls_tolerance_dex,容差,eng/packaging/config/defaults.json:583；docs/science/PHOTOMETRY.md:192；lib/algorithms/photometry/cpp/src/spatial_gain.cpp:43；lib/algorithms/photometry/cpp/src/star_matcher.cpp:27；eng/packaging/config/defaults.json；lib/algorithms/photometry/cpp/src/star_matcher.cpp:26；docs/science/PHOTOMETRY.md:126,1e-06,dex,IRLS **location** 收敛门 |loc_new-loc_old|<1e-6,未标注相对量纲（未定义相对 S 还是相对机器精度）,注册 >0；无 schema 承载,待确认（未给浮点精度或收敛速率推导）,docs/science/PHOTOMETRY.md:192（tol=1e-6）；锚点正确【保守方向·回填自判读件】**部分证伪机械层结论**：队列记作『同一 IRLS 收敛门两处取值差 3 个数量级』，读码后不成立——spatial_gain.cpp:43 注释明确 1e-9 判的是**系数增量**收敛（原文：系数是 dex/单位坐标的量），star_matcher.cpp:27 的 1e-6 判的是标量 location ⇒ 两个不同判据而非同门两值。真问题改档为：(a) 1e-9 这条生产在用的空间增益收,待确认,测光 IRLS 收敛,否（判读层逐行已判，未过第②层复核）,红（判读层立案 X-5/U-4｜AUD-402-判读-A1 X-5）：两条门分别判不同量（spatial_gain.cpp:43 的 1e-9 判系数增量、star_matcher.cpp:27 的 1e-6 判标量 location），1e-9 四面无登记，且文档与代码把 1e-6 记成两个不同的量,AUD-402-判读-A1,预筛已回：全表命中键 irls_tolerance_dex｜有值侧 1（S1 defaults）
pixel_area_power,常数,eng/contracts/schemas/unified/variance.schema.json:103；eng/contracts/data/v6_clause_registry_v1.json:2902；docs/contracts/DATA_SEMANTICS.md:3223（补侧·本行出处所列，该侧带值）；eng/contracts/schemas/product_family_field_constraints.schema.json:242（补侧·本行出处所列，该侧带值）；eng/ci/check_product_contract.py:73（补侧·本行出处所列，该侧带值）；docs/contracts/unified_object_registry.json:25（补侧·本行出处所列，该侧带值）；lib/infrastructure/aio/v6/src/v6_bunit.cpp:242（补侧·本行出处所列，该侧带值）；lib/infrastructure/aio/v6/src/v6_provenance.cpp:167（补侧·本行出处所列，该侧带值）,"A 侧（幂次语义）{-2, -4, +4}：signal_sb=-2、sb_variance_out=-4、sb_ivar_out=+4；B 侧（分类语义）enum [-2, 0]",无量纲幂次,units.pixel_area_power：立体角幂次 vs 内部 px_power 量纲代数,不适用（整数幂次）,"69 个约束位点、其中 8 个 enum 位点全部是同一值集 [-2, 0]",有文献（两侧都是机器合同事实源）,"docs/contracts/DATA_SEMANTICS.md:3223-3225/:3249/:3250；eng/contracts/data/v6_clause_registry_v1.json:2902-2909；eng/contracts/schemas/product_family_field_constraints.schema.json:242-246/:253-257；eng/ci/check_product_contract.py:73-81/:642-645；eng/contracts/schemas/unified/{variance,ivar,signal,depth_m5,frame_snr,source_snr,sparse_snr_layer,point_information}.schema.json:94-109；docs/contracts/unified_object_registry.json:25；lib/infrastructure/aio/v6/src/v6_bunit.cpp:242-253；lib/infrastructure/aio/v6/src/v6_provenance.cpp:167-170【缺输入：判读层与第②层均未给保守取值方向】",待确认,统一对象合同 units 域,是（第②层复核改判）,红：同一键名在两份机器合同里值集不相交（A 侧要求 −4/+4，B 侧 enum 只容 −2/0），任一侧落地必在另一侧判红；另有 5 份 unified schema 把该键 pin 成 const 0，其 allOf 三支 if-then 在自身 properties 约束下永不可满足 ⇒ 文档点名成「机器强制」的出处是死规则且 pin 值与文档所述相反,复核-合同层 W1（覆盖成稿 AUD-101-DB-06-07 A-2/A-3）；复核注记：是（复核-AUD204 W1 定 P1，并订正成稿三处不完整/不实；「取哪一侧」属负责人已登记的像素面积幂次待裁事项）,预筛已回：全表命中键 pixel_area_power｜有值侧 2（S4 合同schema、S5 代码兜底）
planar/spherical 分支阈,容差,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1644,max_angle < 1e-3 rad（= 206.3″）,rad,面积例程选支,不适用,θ≲10″ 时文档 δ 值（1e-11…1e-10）低于球面例程自身的双精度噪声地板约 4 个数量级；θ≳60″ 域内文档二阶式被独立证实（60″ 差 1.6%、300″ 差 0.0012%）,公式导出（二阶式），但选支阈本身无登记,AUD-204 t7_planar_branch_delta.py 表；drizzle_engine.cpp pixel_area 经 polygon_area_consistent 按未收缩四角自判、drop_area 按收缩后自判【缺输入：判读层与第②层均未给保守取值方向】,待确认,创新点④ 面积例程选支,是（第②层独立复核）,红：分支混用 ⇒ pf<1 且 θ_pixel 跨 206.3″ 时 pixel_area 与 drop_area 取自不同例程，sumNorm 的 pixel_area/drop_area 出现 ~9e-8 量级口径跳变（θ=210/pf=0.8 时 δ 由 1.87e-7 换到 9.33e-8）,AUD-204-面积交叠核验 AUD204-09；复核注记：是（本机复算）,
precision.default,容差,eng/packaging/config/defaults.json:625；docs/science/SCIENCE_SCOPE.md:91-93；lib/infrastructure/scheduler/src/module_adapters.cpp:13519；lib/phase3_session/p3_session.cpp:126；lib/infrastructure/scheduler/src/module_adapters.cpp:7507-7520；ASTROCS_DESIGN.md；eng/packaging/config/defaults.json:635；eng/ci/ledgers/dead_config_keys.json；docs/science/SCIENCE_SCOPE.md:94,fp64,"枚举 id {fp32,fp64}",计算精度模式标识,按形态分裂（SCI 真实口径见备注），非单一默认,"注册枚举 {fp32,fp64}；normalize schema 侧是**另一个键** drizzle.precision_mode enum=[0,1] 无 default 且必须显式；mosaic/export schema 侧 precision enum=[fp32,fp64] 无 default 但 required；export 模板**不含 precision**（而 export_config required 含它）",待确认（注册值与权威口径实质不符）,真锚 docs/science/SCIENCE_SCOPE.md:91-93（稠密发布面 FP32、稀疏/元数据全程 FP64、计算与承载分离）；注册件所引 :56 讲的是『污染幅度未被定量确认』，与本键无关 ⇒ 注册值『默认 FP64』是对权威的过度简化【保守方向·回填自判读件】**多侧不一致（本队列最重一条之一）**：注册 fp64｜CLI/模板 normalize 侧 precision_mode=1（=FP64，但必须显式，无默认）｜Phase3 生产实现缺省 bitpix=**-32（FP32）**：module_adapters.cpp:13519、:13726、p3_session.cpp:126、:391 四处写 -32｜lib 对 precision.de,待确认,全链路精度口径,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-7｜AUD-402-判读-A1 §2.1 F-7；X-12）：四面互不相同：注册 fp64／normalize 面 precision_mode enum 必须显式／mosaic·export 面 precision required 无 default 且 export 模板不含该键／Phase3 实现缺省 bitpix=-32（FP32，四处）／死键台账自认『阶段二当前没有任何被消费的精度键』⇒ 一个声明默认＋一个相反实现缺省＋一个必须显式＋一个死键,AUD-402-判读-A1,
schema 侧 default/min/max 是否被取,算法,,只取 $defs.*_config.properties 的键名，不取 default/minimum/maximum,—,第⑤侧：eng/contracts/schemas/phase_config_*.schema.json,不适用,因此 schema 内部矛盾（default 越出 exclusiveMinimum、enum 与 default 互斥）无人判红,不适用,AUD-402-判读-A1 §1 表第⑤行；F-4/F-6 两案【缺输入：判读层与第②层均未给保守取值方向】,待确认,noise 族 14 键的实际生效值判定,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A1 §1）：schema 断言「default ∈ 值域」缺位（U-19 修法）,AUD-402-判读-A1 §1；§3 U-19；U-19,
sigma_floor,常数,eng/tests/backend/syn008_seam_main.cpp:105；docs/contracts/DATA_SEMANTICS.md:2086；lib/algorithms/coverage/include/astro/phase2/upm.h:83；lib/algorithms/coverage/src/upm.cpp:273；lib/algorithms/coverage/include/astro/phase2/stage2_common.h:60；lib/algorithms/coverage/src/stage2_common.cpp:169；eng/tests/validation/release02/fix_p2a_seam_oracle/p2a_oracle.cpp:134；docs/algorithms/PHASE2_SESSION.md:142；src/upm.cpp:273（补侧·本行出处所列，该侧带值）,0.02（本行）；同符号生产侧 1e-3,ADU（σ 标度，非 ADU²）,与所消费 uncertainty 同标度（帧面标度；photo_scaled_adu 时按 α 换算）,缺（文档只给数值与分工，未给精度/收敛要求）,>0；≤0 时 upm.cpp:292 静默钳回 1e-3,C（合同/算法文档登记 1e-3；本行 0.02 无任何登记）,唯一数值源：docs/contracts/DATA_SEMANTICS.md:2086（冻结 1e-3）＋ lib/algorithms/coverage/include/astro/phase2/upm.h:83、src/upm.cpp:273/:292；测试侧 0.02 = 无,待确认,"UPM 观测降权路径 sigma_eff=max(|unc|,sigma_floor)",否（判读层逐行已判，未过第②层复核）,红（判读层立案 BD1-L2｜AUD-402-判读-BD1 §1.1 L2）：三侧并列 1e-3（docs 冻结＋upm.h:83＋stage2_common.h:60＋5 个 coverage/*.json＋兜底）／0.02（syn008 测试）／1e8（p2a_oracle）；另同符号单位两说（DATA_SEMANTICS:2086『σ（ADU）』vs PHASE2_SESSION.md:142『面亮度 ADU·sr⁻¹』）,AUD-402-判读-BD1,
sigma_residual 的「不可估计」编码,容差,lib/algorithms/photometry/cpp/src/star_matcher.cpp:615；lib/algorithms/photometry/cpp/src/star_matcher.cpp:621；docs/science/PHOTOMETRY.md:191（补侧·本行出处所列，该侧带值）,0.0,dex,两出口：样本不足、mad_in==0,不适用（哨兵，非测量值）,"可达构造：r_inliers={2.0,2.0,5.0} ⇒ median 偏差=0 ⇒ sigma_residual=0 且 fit_ok=true",无来源（0 兼表「完美」与「不可估计」两义，区分只活在注释）,star_matcher.cpp:614 注释自证；docs/science/PHOTOMETRY.md:191/§3/§8 无具名不可估计值【缺输入：判读层与第②层均未给保守取值方向】,待确认,测光标定质量门,是（第②层独立复核）,红：唯一消费门 P1_PHOT_MAX_SIGMA_DEX=1.0 只卡上界与有限性 ⇒ 假绿通道（fail-open）,AUD-201-测光核验 AUD201-011；复核-AUD201 V5；复核注记：是（复核-AUD201 V5）,
sigma_sky_source 的择一（生产写死）,算法,lib/infrastructure/scheduler/src/module_adapters.cpp:7159；docs/plugins/algorithms_phase1/07_noise_snr.md:118（补侧·本行出处所列，该侧带值）；docs/science/NOISE_MODEL.md:223（补侧·本行出处所列，该侧带值）,SNR_SIGMA_SKY_EMPIRICAL_TOTAL_RMS（无条件赋值）,枚举,σ_sky 的口径来源,不适用,决策树分支 1（shot_noise_only 且 gain>0 的散粒口径）从生产不可达；自估增益主路径（NOISE_MODEL §5c 第 1 条 V=σ0²+S/g 斜率–截距回归）未实现,有文献（§4.2a 决策树与 §5c 主路径为本仓 SCI 条文）＋代码接线事实,module_adapters.cpp:7159 赋值、:7151 noise_sigma 入参、:7130-7136 upper_bound_no_gain（此点证真）；docs/plugins/algorithms_phase1/07_noise_snr.md:118-122；docs/science/NOISE_MODEL.md:223-242【缺输入：判读层与第②层均未给保守取值方向】,待确认,跨帧绝对 SNR（创新点②）,是（第②层独立复核）,红：设计本意分支在生产不可达，择一由接线层写死而非由声明面决定,AUD-202-SNR核验 AUD202-005；复核注记：是（CONFIRMED）,
